プラグイン名,配布元,種別,公開日,記事URL,サムネイルURL,概要,取得日時
Tape Echo 2,Dusk Audio,FREE,2026-08-12,https://bedroomproducersblog.com/2026/08/12/dusk-audio-tape-echo-2/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/tape-echo.jpg,"Dusk Audio has released Tape Echo 2, a free three-head tape delay and spring reverb plugin for macOS, Windows, and Linux. I am a massive fan of tape delays, especially when there is a spring reverb in...",2026-08-12T14:10:44.405263+00:00
Decompressor,NoirSonance,FREE,2026-08-12,https://bedroomproducersblog.com/2026/08/12/noirsonance-decompressor/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/decompressor.jpg,"NoirSonance has released Decompressor, a free/pay-what-you-want upward dynamics plugin for macOS and Windows. We have covered NoirSonance several times on BPB, most recently when the developer made al...",2026-08-12T14:10:44.405263+00:00
SURVIVE,quietformat,FREE,2026-08-12,https://bedroomproducersblog.com/2026/08/12/quietformat-survive/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/survive-quietformat.jpg,"quietformat has released SURVIVE, a free clipping processor plugin for macOS and Windows. To get SURVIVE for free, you need to enter your email address on the product page and agree to receive the qui...",2026-08-12T14:10:44.405263+00:00
GroovEmu,,FREE,2026-08-11,https://bedroomproducersblog.com/2026/08/11/groovemu-reaper-arranger/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/groovemu.jpg,"SlapAsSound has released GroovEmu Arranger, a free Windows system that turns REAPER into a live arranger-style workstation. This one comes from Marko Karja, a developer from Estonia who has sent BPB s...",2026-08-11T14:09:47.110470+00:00
Audio Spices gives away three,,FREE,2026-08-11,https://bedroomproducersblog.com/2026/08/11/audio-spices-bpb-giveaway/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/audio-spices.jpg,"Audio Spices is giving away 10,000 free plugin bundles exclusively to BPB readers, including full licenses for Salt, Chili, and Basil. These are not demos or time-limited trials. You get perpetual lic...",2026-08-11T14:09:47.110470+00:00
Picking Fingers,,FREE,2026-08-11,https://bedroomproducersblog.com/2026/08/11/picking-fingers-bass/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/picking-fingers.jpg,"Box of Rules has released Picking Fingers, a free bass guitar processing plugin for macOS, Windows, and Linux. Picking Fingers is designed to process a bass recording played one way so it sounds as if...",2026-08-12T03:19:36.461407+00:00
Air-G EQ Pedal,Air-G Audio,FREE,2026-08-10,https://bedroomproducersblog.com/2026/08/10/air-g-audio-pedal/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/air-g.jpg,"Air-G Audio has released Air-G EQ Pedal, a free six-band graphic equalizer plugin for Windows and Linux. Air-G EQ Pedal is part of Air-G Audio’s Guitar Collection, a growing series of guitar-pedal-sty...",2026-08-10T14:10:06.823111+00:00
Mixing Cheat Sheet,Carve Audio,FREE,2026-08-10,https://bedroomproducersblog.com/2026/08/10/carve-audio-mixing-cheat-sheet/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/mixingcheatsheet.jpg,"Carve Audio has released Mixing Cheat Sheet, a free mixing-reference plugin for macOS and Windows. So instead of giving you another PDF chart full of frequency numbers, Mixing Cheat Sheet opens inside...",2026-08-10T14:10:06.823111+00:00
two FREE circuit-modeled bass pedal plugins,Leigh Pierce,FREE,2026-08-10,https://bedroomproducersblog.com/2026/08/10/leigh-pierce-guitar-pedals/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/tehguitarist.jpg,"Developer Leigh Pierce has released two free bass pedal plugins for macOS, Windows, and Linux. The new releases are NoAmp Low Rider DI and Obsidian B7000, following Leigh’s earlier Tommy and Monarch o...",2026-08-10T14:10:06.823111+00:00
TO-Sampler,TubeOhm,FREE,2026-08-10,https://bedroomproducersblog.com/2026/08/10/tubeohm-to-sampler/,https://bedroomproducersblog.com/wp-content/uploads/2026/08/tubeohm-sampler.jpg,"TubeOhm has released TO-Sampler, a free sampler plugin and standalone instrument for Windows. The main reason I’m featuring this one in the news is that we recently covered SynthEdit 1.6, which finall...",2026-08-11T03:01:11.497348+00:00
